0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:34 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:34 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:34 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:34 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:34 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:35 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:35 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:35 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:36 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:36 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:36 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Jan/2018:14:09:36 +0900] "GET /edu/jsexam/exam11.html HTTP/1.1" 304 -
